car,track,frame,mode,draw,present,road,faces,upscale,player,opponents,total
3,2,9,1,113158,31936,12542,108,20192,33391,38407,145094
3,2,10,0,126956,31465,16099,108,20202,37932,44096,158421
3,2,10,1,123444,31457,12607,108,20208,37937,44159,154901
3,2,11,0,127428,31432,34540,540,20257,40617,23250,158860
3,2,11,1,126091,31420,33180,540,20235,40564,23317,157511
3,2,12,0,136964,31469,17343,127,20221,42149,48512,168433
3,2,12,1,132504,31477,13635,127,20222,41579,48443,163981
4,0,1,0,123375,31467,13040,68,20228,32562,48803,154842
4,0,1,1,122837,31468,12561,68,20215,32544,48818,154305
4,0,2,0,124442,31453,15559,118,20202,32271,47600,155895
4,0,2,1,124390,31439,15547,118,20221,32311,47632,155829
4,0,3,0,99392,31470,14058,95,20201,31656,24531,130862
4,0,3,1,99412,31480,14041,95,20228,31592,24517,130892
4,0,4,0,127930,31480,12493,46,20212,35388,50928,159410
4,0,4,1,127241,31484,12492,46,20229,35408,50400,158725
4,0,5,0,159824,31485,26060,312,20239,33886,49295,191309
4,0,5,1,135782,31492,25042,312,20251,32741,48917,167274
4,0,6,0,128668,31473,16789,138,20206,32778,49614,160141
4,0,6,1,127571,31451,15646,138,20255,32761,50069,159022
4,0,7,0,102942,31425,13034,68,20234,35592,25216,134367
4,0,7,1,103044,31437,13086,68,20227,35579,25170,134481
4,0,8,0,139616,31498,14355,111,20224,38574,57566,171114
4,0,8,1,139917,31460,14400,111,20203,38814,57686,171377
4,0,9,0,134139,31462,14004,95,20224,36507,54489,165601
4,0,9,1,134680,31487,14001,95,20229,36480,55029,166167
4,0,10,0,137085,31442,11997,42,20221,38800,57139,168527
4,0,10,1,137012,31463,12003,42,20221,38827,57194,168475
4,0,11,0,119359,31467,24923,370,20236,39349,25650,150826
4,0,11,1,142576,31484,24877,370,20247,39870,26789,174060
4,0,12,0,131994,31494,16901,194,20245,34494,51495,163488
4,0,12,1,131941,31475,16899,194,20231,34517,51507,163416
4,1,1,0,140681,31465,18135,196,20216,38141,55227,172146
4,1,1,1,140584,31943,18121,196,20226,38141,55260,172527
4,1,2,0,117792,31473,18783,123,20227,28204,41557,149265
4,1,2,1,117753,31477,18796,123,20234,28234,41586,149230
4,1,3,0,126606,31458,14539,61,20221,36207,25324,158064
4,1,3,1,105929,31460,13483,61,20228,37663,25441,137389
4,1,4,0,142269,31478,14045,62,20202,39770,59007,173747
4,1,4,1,140399,31453,12402,62,20234,39768,59035,171852
4,1,5,0,142637,31492,19352,244,20228,38359,55812,174129
4,1,5,1,142416,31463,19346,244,20214,38365,55480,173879
4,1,6,0,117888,31469,18925,123,20257,28194,41547,149357
4,1,6,1,118386,31447,19365,123,20235,28203,41588,149833
4,1,7,0,103962,31466,13240,61,20227,36206,25279,135428
4,1,7,1,104085,31468,13235,61,20206,36254,25259,135553
4,1,8,0,140417,31468,12362,62,20211,39802,58991,171885
4,1,8,1,141773,31498,12328,62,20263,39998,60130,173271
4,1,9,0,142599,31498,19389,196,20220,38271,55502,174097
4,1,9,1,165351,31473,19828,196,20207,38800,55683,196824
4,1,10,0,117870,31472,18879,123,20239,28192,41565,149342
4,1,10,1,117834,31483,18837,123,20244,28235,41598,149317
4,1,11,0,105188,31989,14343,93,20217,36284,25288,137177
4,1,11,1,105322,31438,14336,93,20232,36300,25262,136760
4,1,12,0,148790,31509,14416,110,20253,43170,61914,180299
4,1,12,1,148744,31469,14417,110,20232,43163,61941,180213
4,2,1,0,163730,31447,16460,83,20213,38429,58329,195177
4,2,1,1,138154,31445,12094,83,20230,38430,58754,169599
4,2,2,0,157729,31468,27250,330,20254,39968,61445,189197
4,2,2,1,153808,31695,23529,330,20235,40001,61437,185503
