car,track,frame,mode,draw,present,prepare,raster,blit,player,opponents,candidates,before,after,rows,total
1,0,23,0,109497,31426,16329,27661,11395,39172,25890,53,5936,5936,224,140923
1,0,23,1,103411,31441,16403,27673,6447,33858,25067,53,5936,1542,224,134852
1,0,24,0,141428,31488,24733,50089,26362,38814,62498,83,9296,9296,336,172916
1,0,24,1,128250,31489,24787,50260,13077,34584,53666,83,9296,1201,336,159739
1,1,1,0,151370,31466,24423,59602,28317,39188,73266,36,4032,4032,336,182836
1,1,1,1,172064,31413,24506,59594,20210,38317,66111,36,4032,1689,336,203477
1,1,2,0,143688,31461,24604,54682,22892,42861,59430,75,8400,8400,336,175149
1,1,2,1,136582,31474,24605,54685,15794,37888,57310,75,8400,2332,336,168056
1,1,3,0,102426,31466,16616,26079,6931,33208,26002,29,3248,3248,224,133892
1,1,3,1,100474,31430,16560,25980,6246,32446,24790,29,3248,803,224,131904
1,1,4,0,114390,31465,24895,39316,7907,28775,43478,23,2576,2576,336,145855
1,1,4,1,113444,31447,24991,39591,6705,28416,42999,23,2576,802,336,144891
1,1,5,0,121609,31470,24870,46941,12288,33467,50756,20,2240,2240,336,153079
1,1,5,1,121839,31501,25034,47447,11667,33539,50741,20,2240,1012,336,153340
1,1,6,0,129693,31483,24915,54716,12997,35989,56762,18,2016,2016,336,161176
1,1,6,1,157847,31450,24851,54745,12766,36069,56418,18,2016,1091,336,189297
1,1,7,0,100834,31445,16507,31364,7640,38385,25688,12,1344,1344,224,132279
1,1,7,1,100800,31476,16652,31635,7655,38535,25977,12,1344,755,224,132276
1,1,8,0,137340,31489,24952,61486,14905,39382,62091,16,1792,1792,336,168829
1,1,8,1,136640,31477,24880,61482,14400,39386,61507,16,1792,1066,336,168117
1,1,9,0,153417,31471,24970,59839,28469,39710,73710,36,4032,4032,336,184888
1,1,9,1,146613,31456,25039,59671,20380,38814,67555,36,4032,1689,336,178069
1,1,10,0,146260,31475,25583,54748,23080,43817,59725,75,8400,8400,336,177735
1,1,10,1,138239,31482,24901,54684,15908,38076,57542,75,8400,2334,336,169721
1,1,11,0,126054,31463,16450,25995,6912,32951,24871,29,3248,3248,224,157517
1,1,11,1,101091,31444,16545,25954,6280,32458,24720,29,3248,803,224,132535
1,1,12,0,115991,31470,24848,39373,7936,28873,43417,23,2576,2576,336,147461
1,1,12,1,113936,31470,24929,39739,6751,28337,43214,23,2576,803,336,145406
1,1,13,0,121472,31470,24909,46815,12237,33447,50640,20,2240,2240,336,152942
1,1,13,1,121080,31476,24853,46888,11670,32993,50542,20,2240,1012,336,152556
1,1,14,0,130721,31481,25000,54675,13096,37224,56849,18,2016,2016,336,162202
1,1,14,1,129249,31493,24891,54914,12855,36123,56661,18,2016,1091,336,160742
1,1,15,0,100001,31436,16516,31399,7616,38414,25649,12,1344,1344,224,131437
1,1,15,1,100059,31932,16571,31378,7628,38460,25652,12,1344,755,224,131991
1,1,16,0,137297,31476,24975,61498,14894,39389,62103,16,1792,1792,336,168773
1,1,16,1,136648,31446,24910,61534,14391,39402,61558,16,1792,1066,336,168094
1,1,17,0,153522,31517,24933,59565,28348,39401,73571,36,4032,4032,336,185039
1,1,17,1,168959,31467,24918,59594,20460,38485,66614,36,4032,1689,336,200426
1,1,18,0,144288,31472,24888,54639,22942,42965,59626,75,8400,8400,336,175760
1,1,18,1,137044,31456,24857,54619,15895,37989,57506,75,8400,2332,336,168500
1,1,19,0,101055,31692,16456,25958,6883,32918,24858,29,3248,3248,224,132747
1,1,19,1,101888,31452,16590,25925,6240,33663,24855,29,3248,803,224,133340
1,1,20,0,114478,31454,24909,39339,7885,28780,43475,23,2576,2576,336,145932
1,1,20,1,113265,31451,24947,39351,6658,28336,42742,23,2576,803,336,144716
1,1,21,0,121647,31469,24886,46896,12277,33458,50733,20,2240,2240,336,153116
1,1,21,1,121274,31447,24953,46897,11653,33006,50617,20,2240,1014,336,152721
1,1,22,0,130623,31461,24913,54665,13051,36020,56731,18,2016,2016,336,162084
1,1,22,1,154855,31428,24826,54718,12922,36158,56433,18,2016,1091,336,186283
1,1,23,0,101644,31446,16539,31356,7695,38404,25746,12,1344,1344,224,133090
1,1,23,1,102774,31507,16574,31358,7717,38469,25716,12,1344,755,224,134281
1,1,24,0,159196,31481,24901,61507,34744,47234,74042,75,8400,8400,336,190677
1,1,24,1,146376,31481,25016,61599,20661,42837,65727,75,8400,2034,336,177857
2,0,1,0,120238,31463,23847,47942,11475,32682,50689,25,2800,2800,336,151701
2,0,1,1,117867,31444,23805,47934,9071,31804,49114,25,2800,756,336,149311
2,0,2,0,120168,31665,23867,47829,12645,33013,51436,41,4592,4592,336,151833
2,0,2,1,141091,31461,23832,47823,9396,31949,49213,41,4592,879,336,172552
2,0,3,0,98588,31452,17604,29592,10010,35305,28250,38,4256,4256,224,130040
2,0,3,1,99045,31457,17589,29600,9333,34867,28002,38,4256,1263,224,130502
2,0,4,0,121664,31494,24359,45415,13101,32761,50234,37,4144,4144,336,153158
2,0,4,1,119559,31469,24422,45436,9825,32635,48297,37,4144,1110,336,151028
2,0,5,0,120228,31492,24771,45966,11230,32063,50023,27,3024,3024,336,151720
2,0,5,1,117400,31483,24611,45868,8546,31179,47974,27,3024,839,336,148883
2,0,6,0,118567,31470,24254,45799,11175,32063,49287,27,3024,3024,336,150037
2,0,6,1,115686,31455,24285,45773,8398,30971,47603,27,3024,804,336,147141
2,0,7,0,96427,31441,17827,29072,6646,32165,27885,33,3696,3696,224,127868
2,0,7,1,95213,31428,17885,29074,5273,31273,27451,33,3696,687,224,126641
2,0,8,0,148009,31439,24172,45633,17918,35587,52258,49,5488,5488,336,179448
2,0,8,1,122949,31448,24294,45592,16170,35059,51114,49,5488,1689,336,154397
2,0,9,0,134289,31486,24287,46636,12513,32979,50582,31,3472,3472,336,165775
2,0,9,1,132288,31488,24264,46676,10407,32305,49154,31,3472,1105,336,163776
2,0,10,0,133790,31691,24297,47940,12058,33602,51974,25,2800,2800,336,165481
2,0,10,1,129705,31435,24240,47891,9326,32078,49498,25,2800,780,336,161140
2,0,11,0,105804,31424,17822,29931,6357,33073,27528,18,2016,2016,224,137228
2,0,11,1,104814,31445,17847,29942,5234,32184,27342,18,2016,543,224,136259
2,0,12,0,122996,31467,24267,48238,11567,32777,51448,23,2576,2576,336,154463
2,0,12,1,120709,31456,24276,48288,9362,32169,49875,23,2576,751,336,152165
2,0,13,0,148485,31444,24356,49251,12453,33822,52369,23,2576,2576,336,179929
2,0,13,1,121726,31499,24368,49142,10679,33221,51091,23,2576,867,336,153225
2,0,14,0,127363,31459,24375,50535,15024,35958,54104,28,3136,3136,336,158822
2,0,14,1,124153,31448,24337,50556,12906,34969,52959,28,3136,1067,336,155601
2,0,15,0,103344,31441,17982,33093,9446,38408,29763,22,2464,2464,224,134785
2,0,15,1,100685,31449,17888,33021,8211,37236,28442,22,2464,958,224,132134
2,0,16,0,134353,31443,24592,55759,16298,38727,58059,25,2800,2800,336,165796
2,0,16,1,132578,31442,24338,55783,14883,37867,57257,25,2800,1224,336,164020
2,0,17,0,130868,31438,24253,53703,14891,36987,55983,25,2800,2800,336,162306
2,0,17,1,129320,31464,24281,53654,13247,36155,55148,25,2800,1081,336,160784
2,0,18,0,129891,31459,24371,53118,14856,36803,55664,26,2912,2912,336,161350
2,0,18,1,127929,31467,24255,53599,12874,35828,55025,26,2912,1038,336,159396
2,0,19,0,103329,31494,17809,32721,8667,37159,28590,21,2352,2352,224,134823
2,0,19,1,125763,31443,17852,32655,7774,36475,28350,21,2352,809,224,157206
2,0,20,0,133152,31432,24320,55712,17651,39141,58671,27,3024,3024,336,164584
2,0,20,1,131586,31466,24583,55658,14837,38008,58339,27,3024,1280,336,163052
2,0,21,0,152773,31466,24247,53869,26835,42849,62225,97,10864,10864,336,184239
2,0,21,1,143641,31438,24267,54371,16975,37698,58042,97,10864,1634,336,175079
2,0,22,0,154552,31481,24314,50598,32519,43454,64101,115,12880,12880,336,186033
2,0,22,1,142765,31461,24256,50597,20844,38316,57505,115,12880,3080,336,174226
2,0,23,0,111711,31461,17761,31236,11678,38520,28787,54,6048,6048,224,143172
2,0,23,1,106049,31409,17805,30475,6466,33473,27777,54,6048,1563,224,137458
2,0,24,0,162573,31451,24194,48287,25291,37836,60054,82,9184,9184,336,194024
2,0,24,1,126417,31505,24274,48284,12706,33773,51611,82,9184,1205,336,157922
2,1,1,0,147916,31432,24004,57282,27671,38875,70215,36,4032,4032,336,179348
2,1,1,1,140838,31475,24154,57392,20386,38284,63779,36,4032,1689,336,172313
2,1,2,0,140893,31479,24177,52478,22709,42066,57415,75,8400,8400,336,172372
2,1,2,1,133660,31458,24138,52481,15603,37212,55125,75,8400,2332,336,165118
2,1,3,0,103902,31429,18046,29063,7015,32494,28181,29,3248,3248,224,135331
2,1,3,1,102640,31435,17968,28551,6266,31788,27556,29,3248,799,224,134075
2,1,4,0,137377,31483,24399,38343,7697,27842,42721,23,2576,2576,336,168860
2,1,4,1,112615,31444,24427,38404,6483,27439,41998,23,2576,803,336,144059
2,1,5,0,120151,31470,24506,45127,11545,32179,50231,18,2016,2016,336,151621
2,1,5,1,118800,31444,24492,45178,11427,32194,49029,18,2016,1016,336,150244
2,1,6,0,127380,31464,24589,52435,13352,35784,54722,18,2016,2016,336,158844
2,1,6,1,126317,31488,24435,52416,12621,35514,54079,18,2016,1091,336,157805
2,1,7,0,102915,31441,17901,34534,7609,38046,28749,12,1344,1344,224,134356
2,1,7,1,103107,31462,17955,34531,7616,38121,28740,12,1344,761,224,134569
2,1,8,0,134539,31460,24459,59348,14600,39031,59501,16,1792,1792,336,165999
2,1,8,1,133614,31921,24417,59116,14136,39082,58711,16,1792,1066,336,165535
2,1,9,0,174357,31480,24370,57405,27772,39095,70578,36,4032,4032,336,205837
2,1,9,1,142037,31451,24435,57366,19938,38210,63651,36,4032,1689,336,173488
2,1,10,0,143731,31466,24440,52452,22752,42229,57541,75,8400,8400,336,175197
2,1,10,1,137116,31468,24576,52512,15961,37536,56741,75,8400,2334,336,168584
2,1,11,0,103771,31443,17897,28485,6981,32257,27677,29,3248,3248,224,135214
2,1,11,1,104419,31439,18071,28976,6311,32411,27570,29,3248,799,224,135858
2,1,12,0,112963,31482,24387,38442,7650,27881,42722,23,2576,2576,336,144445
2,1,12,1,111617,31473,24298,38478,6522,27437,41984,23,2576,804,336,143090
2,1,13,0,118523,31453,24395,45126,11497,32127,49016,18,2016,2016,336,149976
2,1,13,1,119007,31484,24489,45093,11463,32170,48998,18,2016,1018,336,150491
2,1,14,0,126549,31467,24493,52401,12853,35478,54392,18,2016,2016,336,158016
2,1,14,1,126087,31472,24461,52400,12628,35472,54137,18,2016,1091,336,157559
2,1,15,0,103635,31480,17957,34502,7623,38076,28692,12,1344,1344,224,135115
2,1,15,1,127065,31461,17902,34530,7604,38118,28681,12,1344,761,224,158526
2,1,16,0,135535,31462,24591,59137,14639,40156,59456,16,1792,1792,336,166997
2,1,16,1,134222,31452,24520,59609,14148,39315,59099,16,1792,1066,336,165674
2,1,17,0,148613,31446,24434,57391,27642,39046,70545,36,4032,4032,336,180059
2,1,17,1,140954,31449,24419,57407,19836,38176,63608,36,4032,1689,336,172403
2,1,18,0,141432,31668,24466,52452,22720,42209,57550,75,8400,8400,336,173100
2,1,18,1,134234,31458,24439,52451,15623,37342,55294,75,8400,2332,336,165692
2,1,19,0,103195,31470,17875,28541,6945,32271,27664,29,3248,3248,224,134665
2,1,19,1,102759,31413,17932,28545,6256,31817,27463,29,3248,799,224,134172
2,1,20,0,112885,31460,24455,38381,7653,27871,42740,23,2576,2576,336,144345
2,1,20,1,135953,31461,24436,38399,6516,27437,42036,23,2576,804,336,167414
2,1,21,0,119340,31450,24530,45579,11493,32612,49122,18,2016,2016,336,150790
2,1,21,1,123677,31465,24468,45084,11425,32153,50057,18,2016,1018,336,155142
2,1,22,0,127699,31444,24511,52337,12899,35474,54392,18,2016,2016,336,159143
2,1,22,1,127286,31459,24467,52359,12645,35469,54130,18,2016,1091,336,158745
2,1,23,0,104586,31434,18197,34491,7660,38361,28725,12,1344,1344,224,136020
2,1,23,1,104458,31431,17978,34474,7691,38148,28717,12,1344,761,224,135889
2,1,24,0,155022,31484,24977,59378,32599,45224,71853,71,7952,7952,336,186506
2,1,24,1,141006,31453,24431,59045,19633,41519,61710,71,7952,1938,336,172459
3,0,1,0,122438,31452,24015,49144,12203,39259,46231,25,2800,2800,336,153890
3,0,1,1,121639,31466,24050,49064,9309,39053,44655,25,2800,763,336,153105
3,0,2,0,121876,31486,23886,49355,12800,39394,46757,43,4816,4816,336,153362
3,0,2,1,118389,31462,23845,49328,9512,38129,44672,43,4816,898,336,149851
3,0,3,0,101143,31472,17950,31283,10658,42202,23764,38,4256,4256,224,132615
3,0,3,1,100219,31430,17952,31258,9894,41561,23591,38,4256,1273,224,131649
3,0,4,0,123183,31452,24361,47439,12522,39122,45322,35,3920,3920,336,154635
3,0,4,1,119875,31457,24322,46952,9946,37799,43540,35,3920,1105,336,151332
3,0,5,0,121212,31482,24241,47328,11450,38331,44808,27,3024,3024,336,152694
3,0,5,1,118606,31465,24302,47308,8640,37184,43184,27,3024,839,336,150071
