car,track,frame,mode,draw,present,track_us,prepare,raster,blit,player,opponents,upscale,hud,crc,total
1,1,13,1,148683,31463,21215,25261,40906,10345,30665,45979,20199,7577,2716982440,180146
1,1,14,0,132844,31471,12899,25273,54642,10744,36144,54650,20197,3342,3357671780,164315
1,1,14,1,124045,31449,12924,25171,44776,10817,32784,49222,20173,3411,3357671780,155494
1,1,15,0,108756,31440,11935,16796,35728,6521,41439,26182,20216,3522,1084655116,140196
1,1,15,1,103689,31448,11940,16892,30421,6533,37057,25376,20231,3505,1084655116,135137
1,1,16,0,143823,31505,12398,25234,63354,13488,40026,62180,20190,3408,1771139936,175328
1,1,16,1,131932,31488,12357,25223,51680,13465,35951,54546,20178,3368,1771139936,163420
1,1,17,0,142947,31455,16299,25228,57397,14793,38776,58782,20169,3384,350063771,174402
1,1,17,1,132401,31462,16333,25516,46494,14747,34533,52359,20213,3336,350063771,163863
1,1,18,0,150047,31482,17054,25208,58745,18689,40414,62360,20173,4386,834704373,181529
1,1,18,1,162907,31439,24114,25165,48031,18737,36445,55617,20189,3442,834704373,194346
1,1,19,0,108101,31430,19812,16824,27660,5956,33426,25590,20206,3502,532216354,139531
1,1,19,1,104300,31440,19837,16804,23794,5951,30475,24577,20226,3554,532216354,135740
1,1,20,0,127422,31464,19401,25343,44448,7346,30996,47356,20702,3329,3405262131,158886
1,1,20,1,118312,31490,19359,25204,37184,7363,28134,41749,20201,3332,3405262131,149802
1,1,21,0,128884,31427,13543,25212,50074,10814,35151,51084,20176,3391,892185736,160311
1,1,21,1,120487,31485,13545,25260,41558,10810,31929,45839,20196,3320,892185736,151972
1,1,22,0,137967,31469,14404,25362,56671,12170,36852,57484,20199,3391,3627949931,169436
1,1,22,1,128346,31454,14338,25293,47259,12207,34066,50831,20187,3368,3627949931,159800
1,1,23,0,107872,31481,13823,16778,30971,7470,38132,25668,20176,4535,341525363,139353
1,1,23,1,102182,31432,13879,16769,26230,7456,34418,24543,20192,3543,341525363,133614
1,1,24,0,177781,31435,20823,25217,66309,18542,45042,65159,20206,3477,1320059617,209216
1,1,24,1,140941,31441,13756,25203,53942,18551,40415,57414,20455,3395,1320059617,172382
1,2,1,0,131950,31426,12325,24878,55544,10377,35305,55608,20211,3228,2152178819,163376
1,2,1,1,122382,31459,12343,24815,46008,10381,31902,49418,20198,3219,2152178819,153841
1,2,2,0,135723,31440,12250,25267,57584,11699,38729,55954,20193,3191,3747025231,167163
1,2,2,1,125385,31458,12218,25312,47403,11692,35482,49053,20181,3159,3747025231,156843
1,2,3,0,111017,31456,10771,16817,37965,6848,43623,26739,20186,4411,2002738606,142473
1,2,3,1,103852,31439,10790,16809,31705,6857,38714,25361,20197,3384,2002738606,135291
1,2,4,0,181380,31438,30771,25229,64523,14212,39813,64283,20237,3301,2049496915,212818
1,2,4,1,144843,31439,23552,25511,52657,14245,35798,56740,20237,3223,2049496915,176282
1,2,5,0,145761,31445,17277,25189,56529,17977,42819,57000,20176,3216,2179406149,177206
1,2,5,1,137486,31437,17304,25235,46344,17999,39315,51489,20680,3263,2179406149,168923
1,2,6,0,135470,31451,12256,25203,57052,12029,38208,56218,20195,3211,2601402572,166921
1,2,6,1,125012,31436,12223,25141,46741,12092,34324,49773,20175,3213,2601402572,156448
1,2,7,0,106833,31434,16510,16731,30972,5168,35555,25920,20210,3338,1833052137,138267
1,2,7,1,102175,31413,16531,16759,26184,5178,31896,24761,20238,3357,1833052137,133588
1,2,8,0,138903,31445,11553,25223,61584,11618,45098,53455,20206,3221,3368751079,170348
1,2,8,1,128540,31470,11528,25242,50284,11634,40174,47112,20195,4236,3368751079,160010
1,2,9,0,128624,31430,9921,25310,55958,8600,35142,54852,20195,3231,4044561984,160054
1,2,9,1,142996,31428,16890,25271,46033,8571,31736,48272,20168,3299,4044561984,174424
1,2,10,0,132165,31474,11113,25648,53375,12624,36122,55657,20643,3195,3163462299,163639
1,2,10,1,123109,31459,11113,25243,44178,12633,32536,50771,20199,3203,3163462299,154568
1,2,11,0,134002,31419,42625,16615,29626,7676,35864,26582,20218,3381,642905731,165421
1,2,11,1,129960,31413,42629,16634,25485,7686,32673,25660,20197,3399,642905731,161373
1,2,12,0,141573,31435,25004,25167,51722,10700,33478,54236,20192,3212,1657552116,173008
1,2,12,1,132913,31464,24774,25661,42955,10715,31000,48460,20211,3172,1657552116,164377
1,2,13,0,136250,31485,21988,25114,49175,10076,32832,51653,20221,4279,1784398930,167735
1,2,13,1,127465,31443,22029,25214,41283,9993,30071,46545,20213,3212,1784398930,158908
1,2,14,0,157686,31413,25346,25165,51252,9487,33856,52179,20180,3288,2609901188,189099
1,2,14,1,124210,31482,18272,25193,42509,9382,30782,46423,20196,3181,2609901188,155692
1,2,15,0,101405,31420,11212,16858,29583,5237,34826,26484,20197,3356,1566528923,132825
1,2,15,1,96585,31394,11245,16799,25735,5235,31567,24755,20206,3390,1566528923,127979
1,2,16,0,125712,31468,10660,25264,51176,9728,33941,52351,20199,3199,2335818029,157180
1,2,16,1,116964,31478,10629,25274,42599,9683,30904,46780,20183,3211,2335818029,148442
1,2,17,0,117532,31887,11485,25262,44970,7061,30573,46846,20174,3162,825771662,149419
1,2,17,1,110643,31428,11523,25532,37702,7040,28338,42065,20183,3168,825771662,142071
1,2,18,0,117309,31424,11608,25230,42915,8669,31071,45867,20182,3192,87955950,148733
1,2,18,1,110557,31440,11606,25189,36315,8725,28533,41823,20155,3162,87955950,141997
1,2,19,0,179010,31434,19636,25273,79158,8748,30716,82595,20187,3211,2972735080,210444
1,2,19,1,140671,31487,12565,25276,64147,8757,28305,70001,20188,4217,2972735080,172158
1,2,20,0,132713,31464,19383,25194,50033,9169,33552,50972,20198,3201,2016078977,164177
1,2,20,1,124909,31461,19364,25268,41139,9180,31775,45138,20183,3163,2016078977,156370
1,2,21,0,128731,31425,13439,25276,53544,7633,33841,52736,20178,3227,1211160212,160156
1,2,21,1,119559,31444,13488,25217,44331,7583,30654,46626,20188,3212,1211160212,151003
1,2,22,0,153230,31455,33305,25364,53460,12147,35629,55473,20220,3187,1006916669,184685
1,2,22,1,144414,31434,33252,25665,44519,12151,32076,50386,20213,3200,1006916669,175848
1,2,23,0,112017,31427,21146,16730,30658,6106,36432,25599,20210,3343,4194641380,143444
1,2,23,1,107675,31457,21158,16773,26138,6092,32956,24607,20210,3344,4194641380,139132
1,2,24,0,138791,31488,13075,25237,53068,17346,37977,57804,20196,4297,709467539,170279
1,2,24,1,153439,31420,20152,25225,44149,17390,35081,51819,20192,3301,709467539,184859
2,0,1,0,126258,31462,13848,24147,50768,8516,32917,50647,20193,3237,2297111821,157720
2,0,1,1,118436,31458,13880,24244,42880,8463,29962,45755,20191,3275,2297111821,149894
2,0,2,0,129566,31457,12483,24538,52074,11330,35585,52484,20200,3279,1773259784,161023
2,0,2,1,120996,31451,12476,24725,43396,11377,32162,47472,20201,3275,1773259784,152447
2,0,3,0,103385,31461,11186,17836,31668,7175,33900,29292,20178,3411,231970511,134846
2,0,3,1,98893,31432,11204,17843,27096,7122,30836,27749,20183,3406,231970511,130325
2,0,4,0,128226,31441,15587,24682,49571,9223,33139,50474,20191,3312,289810520,159667
2,0,4,1,121404,31503,15536,24693,41833,9265,30009,45925,20190,4326,289810520,152907
2,0,5,0,128858,31486,14307,24723,50316,10371,34843,50701,20185,3296,1704090501,160344
2,0,5,1,145123,31948,21341,24630,42005,10393,31586,45571,20193,3365,1704090501,177071
2,0,6,0,124675,31449,14082,24763,47954,7549,31887,49626,20212,3312,3752984351,156124
2,0,6,1,115598,31467,14052,24641,40296,7535,28901,43707,20183,3309,3752984351,147065
2,0,7,0,103407,31430,13115,18114,31388,5001,32558,28540,20200,3519,1881686865,134837
